id;IBP_total;Serie;Intensite;FacteurA;FacteurB;FacteurC;FacteurD;FacteurE;FacteurF;FacteurG;FacteurH;FacteurI;FacteurJ;altitude;exposition;pente;desserte
28;22;0;0;5;5;0;0;0;2;5;5;0;0;1566,62;253,419;31,1569;147,845
25;36;0;0;5;5;5;5;2;5;2;5;0;2;1480,72;121,143;36,3706;343,321
26;34;0;0;0;2;5;5;5;5;2;5;0;5;1484,47;73,927;26,4795;450,067
27;38;0;0;5;5;2;5;2;5;2;5;2;5;1548,91;194,235;20,522;53,0908
23;36;0;0;2;5;5;5;5;2;2;5;0;5;1514,3;115,009;16,9035;583,647
38;39;0;0;5;5;5;5;5;2;5;5;0;2;1557,46;107,856;24,8132;231,9
39;33;0;0;5;5;2;2;5;5;2;5;0;2;1397,57;129,24;27,7344;428,06
40;37;0;0;5;5;0;5;5;5;5;5;0;2;1402,34;110,732;37,9248;469,801
33;36;0;1;5;5;5;2;2;5;5;5;0;2;1398,61;84,312;32,3133;2,12835
7;42;0;1;5;5;5;5;2;5;5;5;0;5;1436,59;120,856;13,7151;238,825
8;39;0;1;2;5;5;5;5;5;5;5;0;2;1400,54;131,895;15,2081;321,646
9;36;0;1;5;5;5;5;5;2;2;5;0;2;1416,82;80,5501;25,7764;13,3885
19;33;0;1;5;5;2;5;2;2;2;5;0;5;1289,36;77,611;24,052;600,007
20;36;0;1;5;5;0;2;5;5;2;5;2;5;1396,12;53,7722;18,0099;320,31
22;33;0;1;5;5;2;5;2;2;2;5;0;5;1466,11;159,01;17,4535;127,263
21;36;0;1;5;5;0;2;5;5;2;5;2;5;1332,04;92,3419;21,9091;465,754
61;36;0;1;5;2;5;5;2;5;5;5;0;2;1461,94;160,635;18,4866;87,1577
62;36;0;1;5;2;5;2;5;5;5;5;0;2;1460,14;110,656;15,1018;8,26628
64;25;0;1;2;0;2;2;2;5;5;5;0;2;1446,31;139,769;14,8953;255,025
65;30;0;1;5;2;2;2;2;5;5;5;0;2;1374,55;122,473;37,9477;256,421
66;39;0;1;5;5;2;5;5;5;5;5;0;2;1412,67;145,098;25,471;290,744
36;36;0;0,5;5;2;5;2;5;5;5;5;2;0;1385,39;147,527;14,8532;129,882
35;34;0;0,5;5;5;2;5;0;5;2;5;5;0;1406,82;95,7421;14,2318;261,274
34;34;0;0,5;5;5;5;5;0;5;2;5;0;2;1477,15;129,293;20,7266;214,188
10;39;0;0,5;5;5;5;2;5;5;5;5;0;2;1400,01;182,386;15,7657;114,247
11;39;0;0,5;5;5;5;2;5;5;5;5;0;2;1412,78;67,9645;15,1719;247,538
12;28;0;0,5;2;5;0;5;2;2;2;5;0;5;1426,67;138,933;9,05328;51,244
53;42;0;0,5;5;5;5;5;5;2;5;5;0;5;1410,22;96,3977;24,1417;387,452
54;39;0;0,5;5;5;5;5;5;2;5;5;0;2;1517,69;66,0778;26,0694;389,879
45;28;0,5;1;2;2;5;0;2;2;5;5;0;5;1536,83;148,632;42,3707;336,762
52;28;0,5;1;2;2;2;0;5;5;5;5;0;2;1283,81;96,6927;33,3175;605,47
63;36;0,5;1;5;5;2;2;5;5;5;5;0;2;1295,75;117,805;47,0282;518,551
42;33;0,5;0,5;5;5;5;2;2;2;5;5;0;2;1405,83;34,5058;25,7717;266,394
43;36;0,5;0,5;5;5;5;2;2;2;5;5;0;5;1381,11;134,229;31,5584;808,44
44;34;0,5;0,5;5;5;5;0;2;2;5;5;0;5;1542,77;108,021;20,6216;501,625
37;42;1;0;5;2;5;5;5;5;5;5;0;5;1650,1;63,5387;28,761;269,624
57;39;1;0;5;5;5;5;5;2;5;5;0;2;1570,16;222,19;10,9105;143,444
58;33;1;0;2;5;2;2;5;2;5;5;0;5;1621,28;80,6129;6,0447;71,6098
59;39;1;0;2;5;5;5;5;2;5;5;0;5;1546,57;105,066;16,6682;50,0698
60;45;1;0;5;5;5;5;5;5;5;5;0;5;1557,22;70,5717;17,7025;186,585
6;34;1;0;5;2;2;5;5;0;5;5;0;5;1615,17;210,763;11,3702;481,429
